Year,Continent,Value
2000,Asia,73428848.4
2000,Europe,31631998.76
2000,North America,46009589
2000,Oceania,5010671.2
2000,South America,22649556.26
2001,Africa,6091220.34
2001,Asia,75231946.68
2001,Europe,31540184.9
2001,North America,47022083
2001,Oceania,5202532.4
2001,South America,23059052.26
2002,Africa,6603974.85
2002,Asia,77507997.52
2002,Europe,32220489.15
2002,North America,47825753.5
2002,Oceania,5186732.4
2002,South America,24188538.4
2003,Africa,6583041.64
2003,Asia,80349192.15
2003,Europe,32000804.2
2003,North America,48590034
2003,Oceania,5151254.8
2003,South America,25517627.5
2004,Africa,6724590.28
2004,Asia,82647092.16
2004,Europe,31640663.6
2004,North America,49492319
2004,Oceania,5318240
2004,South America,27783551.4
2005,Africa,7050876.34
2005,Asia,86268021.82
2005,Europe,31909136.74
2005,North America,49639678
2005,Oceania,5344795
2005,South America,28106225.24
2006,Africa,7332871.43
2006,Asia,89026263.9
2006,Europe,31668519.36
2006,North America,49951438
2006,Oceania,5502204
2006,South America,29345303.8
2007,Africa,7857812.96
2007,Asia,87601510.1
2007,Europe,32954963.05
2007,North America,51580615
2007,Oceania,5587114
2007,South America,31207034.8
2008,Africa,8219198.74
2008,Asia,92656695.6
2008,Europe,32962565.8
2008,North America,53031846.5
2008,Oceania,5496579
2008,South America,32600044.7
2009,Africa,8431035.84
2009,Asia,97392179.9
2009,Europe,33212486.3
2009,North America,52009466
2009,Oceania,5357291.6
2009,South America,32651742.8
2010,Africa,8902721.81
2010,Asia,100739468.3
2010,Europe,34185973.8
2010,North America,52201052
2010,Oceania,5379877.4
2010,South America,32955402
2011,Africa,8953964.4
2011,Asia,102087642.6
2011,Europe,34697934.3
2011,North America,52784448
2011,Oceania,5394559.8
2011,South America,33912333.6
2012,Africa,9747682.1
2012,Asia,107178546.5
2012,Europe,34633029.44
2012,North America,52991515
2012,Oceania,5512078.9
2012,South America,34982643.3
2013,Africa,10324322.76
2013,Asia,110056739.5
2013,Europe,34193647.36
2013,North America,53164645.5
2013,Oceania,5896849
2013,South America,36108254.8
2014,Africa,10694453.7
2014,Asia,112528974.9
2014,Europe,34550060.8
2014,North America,53375734
2014,Oceania,6260222.7
2014,South America,36763830.4
2015,Africa,11063138.6
2015,Asia,114042231.3
2015,Europe,35737591.9
2015,North America,54085130.5
2015,Oceania,6398199.9
2015,South America,37796038.9
2016,Africa,10658547.23
2016,Asia,113562446.9
2016,Europe,36736819.8
2016,North America,55805887.5
2016,Oceania,6137910.6
2016,South America,38111491.4
2017,Africa,10910703.83
2017,Asia,115968485.1
2017,Europe,36533228.8
2017,North America,57392536
2017,Oceania,5854940.4
2017,South America,39224672.2
2018,Africa,11363340
2018,Asia,118166904.4
2018,Europe,37524180
2018,North America,58786013.5
2018,Oceania,6210468.1
2018,South America,39951420.2
2019,Africa,11854550
2019,Asia,110689033.3
2019,Europe,37598894.5
2019,North America,60524174.5
2019,Oceania,6351305.1
2019,South America,40972511.1
2020,Africa,12372341.76
2020,Asia,110524811.7
2020,Europe,34292005.56
2020,North America,59685643
2020,Oceania,6024298.1
2020,South America,41355530.4
2021,Africa,12835938.4
2021,Asia,124535650.1
2021,Europe,34000859.45
2021,North America,60098543.5
2021,Oceania,5868316.1
2021,South America,42151031.5
