Year,Bovine Meat,"Fish, Seafood","Meat, Other",Mutton & Goat Meat,Pigmeat,Poultry Meat
2018,69449.0,155479.3,6547.0,15167.0,116982.0,121206.0
2019,70656.0,158942.84,6270.0,15099.0,115271.0,127513.0
2020,72959.0,158642.49,6304.0,15410.0,104102.0,132237.0
2021,73877.0,160891.75,6323.0,15854.0,114745.0,132330.0
2022,74831.0,160856.59,6258.0,16108.0,121352.0,135380.0
